data,saldo_total,saldo_pj,saldo_pf,inad_total,inad_pj,inad_pf,taxa_total,taxa_pj,taxa_pf,selic_432,saldo_total_var12m,saldo_pf_var12m,saldo_pj_var12m,selic_432_lag1,selic_432_lag3,taxa_pf_lag1,taxa_pf_lag3,saldo_pf_var12m_lag1,saldo_pf_var12m_lag3,saldo_pj_var12m_lag1,saldo_pj_var12m_lag3,inad_pf_tplus3
2021-11-01,4595047.0,1929659.0,2665388.0,2.31,1.4,2.97,23.95,17.96,27.42,7.75,,,,6.443548387096774,5.120967741935484,26.51,24.68,,,,,3.33
2021-12-01,4679575.0,1970605.0,2708971.0,2.3,1.33,3.0,24.26,17.54,28.2,8.862903225806452,,,,7.75,5.516666666666667,27.42,25.24,,,,,3.39
2022-01-01,4679385.0,1943805.0,2735580.0,2.45,1.38,3.21,25.24,18.57,29.1,9.25,16.47559751993848,21.41238125967819,10.171167852183526,8.862903225806452,6.443548387096774,28.2,26.51,,,,,3.48
2022-02-01,4723686.0,1967754.0,2755932.0,2.51,1.36,3.33,25.63,18.63,29.66,10.642857142857142,16.782868070346325,21.378249678929873,10.90230415941269,9.25,7.75,29.1,27.42,21.41238125967819,,10.171167852183526,,3.59
2022-03-01,4790359.0,1990048.0,2800311.0,2.59,1.46,3.39,26.55,18.83,31.0,11.233870967741936,16.654535341848884,21.908270731681846,9.984834617748351,10.642857142857142,8.862903225806452,29.66,28.2,21.378249678929873,,10.90230415941269,,3.52
2022-04-01,4828886.0,1998547.0,2830339.0,2.66,1.48,3.48,27.47,20.52,31.46,11.75,17.009610570998078,21.890506340561757,10.730187048446439,11.233870967741936,9.25,31.0,29.1,21.908270731681846,21.41238125967819,9.984834617748351,10.171167852183526,3.65
2022-05-01,4883798.0,2008336.0,2875462.0,2.72,1.48,3.59,27.43,19.38,32.04,12.620967741935484,16.963974372238646,21.80641018146452,10.664925418367964,11.75,10.642857142857142,31.46,29.66,21.890506340561757,21.378249678929873,10.730187048446439,10.90230415941269,3.72
2022-06-01,4961785.0,2047451.0,2914335.0,2.66,1.44,3.52,27.89,19.67,32.6,13.0,17.789977210141483,21.52490807451448,12.853042805811498,12.620967741935484,11.233870967741936,32.04,31.0,21.80641018146452,21.908270731681846,10.664925418367964,9.984834617748351,3.74
2022-07-01,4997242.0,2041622.0,2955620.0,2.77,1.51,3.65,29.25,21.44,33.68,13.25,17.04050126602319,21.174427924539142,11.532107746197262,13.0,11.75,32.6,31.46,21.52490807451448,21.890506340561757,12.853042805811498,10.730187048446439,3.83
2022-08-01,5068741.0,2058843.0,3009898.0,2.83,1.52,3.72,28.63,18.99,34.01,13.701612903225806,16.679292798500978,20.59089135313976,11.396715088345033,13.25,12.620967741935484,33.68,32.04,21.174427924539142,21.80641018146452,11.532107746197262,10.664925418367964,3.85
2022-09-01,5160236.0,2104721.0,3055514.0,2.85,1.55,3.74,28.6,19.35,33.74,13.75,16.244544809659402,19.92147347904907,11.290709774576024,13.701612903225806,13.0,34.01,32.6,20.59089135313976,21.52490807451448,11.396715088345033,12.853042805811498,3.88
2022-10-01,5211491.0,2100060.0,3111431.0,2.96,1.67,3.83,29.71,19.66,35.26,13.75,15.556045832247767,19.574947080715543,10.074749102261226,13.75,13.25,33.74,33.68,19.92147347904907,21.174427924539142,11.290709774576024,11.532107746197262,4.04
2022-11-01,5278400.0,2121812.0,3156588.0,2.99,1.7,3.85,30.55,20.19,36.14,13.75,14.87151273969558,18.428836627162724,9.957873385919491,13.75,13.701612903225806,35.26,34.01,19.574947080715543,20.59089135313976,10.074749102261226,11.396715088345033,4.08
2022-12-01,5358049.0,2170267.0,3187782.0,2.99,1.69,3.88,29.68,20.05,34.92,13.75,14.498624340885646,17.67501387058037,10.13201529479526,13.75,13.75,36.14,33.74,18.428836627162724,19.92147347904907,9.957873385919491,11.290709774576024,4.03
2023-01-01,5365320.0,2143696.0,3221624.0,3.15,1.82,4.04,30.54,21.8,35.27,13.75,14.658657067114579,17.76749354798617,10.283490370690473,13.75,13.75,34.92,35.26,17.67501387058037,19.574947080715543,10.13201529479526,10.074749102261226,4.18
2023-02-01,5364476.0,2128587.0,3235889.0,3.27,2.04,4.08,30.48,20.87,35.58,13.75,13.565465613082672,17.415415184409476,8.173430215362277,13.75,13.75,35.27,36.14,17.76749354798617,18.428836627162724,10.283490370690473,9.957873385919491,4.25
2023-03-01,5417326.0,2146398.0,3270928.0,3.26,2.08,4.03,30.99,21.05,36.19,13.75,13.088100495182097,16.805883346528304,7.856594413803086,13.75,13.75,35.58,34.92,17.415415184409476,17.67501387058037,8.173430215362277,10.13201529479526,4.18
2023-04-01,5419040.0,2136652.0,3282388.0,3.45,2.32,4.18,31.62,20.87,37.19,13.75,12.221328066141957,15.971549697757048,6.910270311381228,13.75,13.75,36.19,35.27,16.805883346528304,17.76749354798617,7.856594413803086,10.283490370690473,4.14
