data,observado,svr_previsto
2024-06-01,3.75,3.721415282113236
2024-07-01,3.7,3.726829895014075
2024-08-01,3.66,3.727685940117965
2024-09-01,3.54,3.732853640051753
2024-10-01,3.78,3.7239349022462935
2024-11-01,3.85,3.7245868803312407
2024-12-01,3.91,3.7322780732291783
2025-01-01,4.13,3.7461859624776417
2025-02-01,4.24,3.766184283100318
2025-03-01,4.28,3.858913486582127
2025-04-01,4.55,3.9545730364973837
2025-05-01,4.78,4.185593165846756
