data,observado,previsto
2024-06-01,3.75,3.7441841553272894
2024-07-01,3.7,3.7143573969465353
2024-08-01,3.66,3.7190139997550267
2024-09-01,3.54,3.7229962218516084
2024-10-01,3.78,3.724435876479679
2024-11-01,3.85,3.727473433046248
2024-12-01,3.91,3.7642052342931924
2025-01-01,4.13,3.798567688237414
2025-02-01,4.24,3.839598802892074
2025-03-01,4.28,3.881244677443857
2025-04-01,4.55,3.9331613777918975
2025-05-01,4.78,3.984762408137042
